Type,Trans Date,Description,Amount,Category,SubCategory,Location
Sale,9/7/17,AVIS.COM PREPAY RESERV,2.84,Travel,Car,Spain
Sale,9/2/17,PUBLIC STORAGE,3.62,Food & Dining,Fast Food,San Francisco
Sale,9/2/17,DEPOSITO MESSINA,22.68,Food & Dining,Coffee Shop,San Francisco
Fee,9/1/17,ANNUAL MEMBERSHIP FEE,17.64,Food & Dining,Restaurant,San Francisco
Sale,9/1/17,FERRARI STORE MILANO,36.16,Food & Dining,Grocery,Spain
Sale,8/30/17,CAFE SACHER WIEN,7.05,Bills,Utilities,San Francisco
Sale,8/30/17,WIENER LINIEN 1051,5.37,Bills,Services,Spain
Sale,8/30/17,FIGLMUELLER WOLLZEILE,14.88,Health & Fitness,Gym,San Francisco
Sale,8/30/17,RESTAURANT DER GRIECHE,21.4,Shopping,Apparel,San Francisco
Sale,8/30/17,VIAS,1018.34,Shopping,Electronics,San Francisco
Sale,8/30/17,CAT TICKET,112.74,Shopping,Gifts,San Francisco
Sale,8/29/17,STARBUCKS CENTURY CITY,0.72,Travel,Air,San Francisco
Sale,8/29/17,PIAZZA CAFE &amp; BAR,5.88,Travel,Hotel,Spain
Sale,8/29/17,GRABTAXI PHILS - IPG (,1126.37,Travel,Car,San Francisco
Sale,8/29/17,ATIN ITO,2.98,Food & Dining,Fast Food,San Francisco
Sale,8/29/17,GRABTAXI PHILS - IPG (,123.6,Food & Dining,Coffee Shop,San Francisco
Sale,8/29/17,GRABTAXI PHILS - IPG (,11.09,Food & Dining,Restaurant,San Francisco
Sale,8/28/17,GRABTAXI PHILS - IPG (,42.42,Food & Dining,Grocery,Spain
Sale,8/28/17,GRABTAXI PHILS - IPG (,27,Bills,Utilities,Spain
Sale,8/28/17,GRABTAXI PHILS - IPG (,5.23,Bills,Services,San Francisco
Sale,8/28/17,UNIQLO CENTURY CITY MA,21.86,Health & Fitness,Gym,Spain
Sale,8/28/17,GRABTAXI PHILS - IPG (,30.26,Shopping,Apparel,San Francisco
Sale,8/28/17,STARBUCKS  GREENBELT 3,41.1,Shopping,Electronics,San Francisco
Sale,8/27/17,GRABTAXI PHILS - IPG (,79.69,Shopping,Gifts,Spain
Sale,8/27/17,LOCAVORE,505.54,Travel,Air,San Francisco
Sale,8/27/17,GRABTAXI PHILS - IPG (,27.45,Travel,Hotel,San Francisco
Sale,8/27/17,INREACHDELORME.COM,123.6,Travel,Car,San Francisco
Sale,8/27/17,GRABTAXI PHILS - IPG (,37.85,Food & Dining,Fast Food,Spain
Sale,8/24/17,THE NEST BEACH RESORT-,25.2,Food & Dining,Coffee Shop,San Francisco
Sale,8/23/17,BEIJINGSHOUDUJICHANGCA,42.33,Food & Dining,Restaurant,San Francisco
Sale,8/22/17,SAUNA EKVATOR,28.38,Food & Dining,Grocery,San Francisco
Sale,8/22/17,RESTORAN SPLETNI,7.67,Bills,Utilities,San Francisco
Sale,8/22/17,IP BATUEVA E.G.,0.21,Bills,Services,San Francisco
Sale,8/22/17,RESTORAN SPLETNI,4.77,Health & Fitness,Gym,Las Vegas
Sale,8/21/17,CHERCHILL DOSTAVKA,196.6,Shopping,Apparel,San Francisco
Sale,8/20/17,IP BATUEVA E.G.,2.24,Shopping,Electronics,Las Vegas
Sale,8/20/17,NOMADS HOSPITALITY,34.19,Shopping,Gifts,Spain
Sale,8/19/17,9011047135,47.52,Travel,Air,San Francisco
Sale,8/19/17,KHA73052993,1300.24,Travel,Hotel,San Francisco
Sale,8/19/17,NOMIN STATE FOODS DEPARTM,474.51,Travel,Car,San Francisco
Sale,8/19/17,NOMIN UID FASHION  16,6.61,Food & Dining,Fast Food,San Francisco
Sale,8/19/17,WWW.S7.RU,2.2,Food & Dining,Coffee Shop,San Francisco
Sale,8/19/17,TOURIST INFORMATION CE,2.14,Food & Dining,Restaurant,San Francisco
Sale,8/19/17,NSH77033164,3.26,Food & Dining,Grocery,San Francisco
Sale,8/19/17,UNITED,97.07,Bills,Utilities,Spain
Sale,8/19/17,ISLAND TRANSVOYAGER-PHP,20.45,Bills,Services,San Francisco
Sale,8/19/17,5700698,120.77,Health & Fitness,Gym,San Francisco
Sale,8/19/17,MONGOL SHUUDAN TVT,3.78,Shopping,Apparel,San Francisco
Sale,8/19/17,CHG82011902,479.04,Shopping,Electronics,San Francisco
Sale,8/16/17,NIC GOVI ALTAI,32.75,Shopping,Gifts,Spain
Sale,8/15/17,TSAMBAGARAV SUPERMARKET,14.89,Travel,Air,San Francisco
Sale,8/14/17,UNIVERSAM RUBTSOVSKIY,22.34,Travel,Hotel,San Francisco
Sale,8/14/17,TS PODKOVA,36.14,Travel,Car,San Francisco
Sale,8/14/17,AZS N26,6.51,Food & Dining,Fast Food,San Francisco
Sale,8/14/17,TS PODKOVA,2.88,Food & Dining,Coffee Shop,Spain
Sale,8/14/17,TS PODKOVA,7.43,Food & Dining,Restaurant,Spain
Sale,8/13/17,TOO HELIOS,24.64,Food & Dining,Grocery,Las Vegas
Sale,8/11/17,7 DNEI SUPER ARZAN,163.55,Bills,Utilities,San Francisco
Sale,8/5/17,PUBLIC STORAGE,37.03,Bills,Services,San Francisco
Sale,8/3/17,POS013 HOTEL GRAND TURKME,4.39,Health & Fitness,Gym,San Francisco
Sale,8/3/17,POS013 HOTEL GRAND TURKME,75.96,Shopping,Apparel,San Francisco
Sale,8/3/17,POS17027,1.58,Shopping,Electronics,Spain
Sale,8/3/17,POS013 HOTEL GRAND TURKME,347.52,Shopping,Gifts,San Francisco
Sale,8/3/17,POS013 HOTEL GRAND TURKME,1.56,Travel,Air,San Francisco
Sale,8/2/17,POS17017 KAMIL MARKET K12,791.79,Travel,Hotel,Spain
Sale,8/2/17,POS17017 KAMIL MARKET K12,19,Travel,Car,San Francisco
Sale,8/2/17,POS17027,394.71,Food & Dining,Fast Food,San Francisco
Sale,7/29/17,JW MARIOTT FD 9,63.28,Food & Dining,Coffee Shop,San Francisco
Sale,7/24/17,AYTEMIZ SARIOGULLARI,11.58,Food & Dining,Restaurant,San Francisco
Sale,7/23/17,SBX IST SULTANAHMET,5.69,Food & Dining,Grocery,San Francisco
Sale,7/23/17,STARBUCKS ANK OPTIMUM,13.16,Bills,Utilities,Spain
Sale,7/22/17,9000001686-MOLA PETROL,2.62,Bills,Services,San Francisco
Sale,7/20/17,MOL A1 SUD GIARMATA KM,12.69,Health & Fitness,Gym,San Francisco
Sale,7/19/17,CS 0227 - PRUHONICE P,26,Shopping,Apparel,San Francisco
Sale,7/18/17,ALBERT 0617,581.83,Shopping,Electronics,San Francisco
Sale,7/17/17,SBX Karlova,24.01,Shopping,Gifts,San Francisco
Sale,7/14/17,LP ELEKTRONIK 02,29,Travel,Air,Spain
Sale,7/14/17,E-Commerce Partners  01,13.82,Travel,Hotel,Spain
Sale,7/8/17,UNITED,54.59,Travel,Car,San Francisco
Sale,7/8/17,LUFTHANSA,141,Food & Dining,Fast Food,San Francisco
Sale,7/3/17,BOBBY'S BURGER PALACE,141,Food & Dining,Coffee Shop,San Francisco
Sale,7/3/17,PARADIES #9390 IAD,1.8,Food & Dining,Restaurant,San Francisco
Sale,7/3/17,TST* THE BIRD,17,Food & Dining,Grocery,San Francisco
Sale,7/2/17,PUBLIC STORAGE,37.82,Bills,Utilities,Spain
Sale,7/1/17,Birch &amp; Barley/Churchkey,11.64,Bills,Services,San Francisco
